dendroFD	TOP	TED	MVNHdet	TPD_FRich	TPD_FEve	TPD_FDiv	HV_Rich	HV_Reg	HV_Dev	n_sim	range_trait1	CVcomm	CVintrasp
1.077446304	111.7902489	0.958737923	21.79718813	1621.341837	0.477094839	0.380362579	98.53947561	0.640134943	4.632655431	4	16.6	0.3	0.3
1.438049728	150.2681214	0.927979708	43.6400111	1621.341837	0.478866401	0.380772738	151.7245844	0.573936579	6.643847087	4	16.6	0.3	0.4
1.557741924	313.4691728	0.931261252	536.6118715	1621.341837	0.477094839	0.380362579	610.1717952	0.645049231	13.25250349	4	16.6	0.3	0.4
1.57939887	233.8216554	0.96303773	118.3548415	1455.651247	0.476559299	0.426455295	311.1874625	0.858604057	6.918294216	5	20.5	0.3	0
1.33143068	126.8202966	0.947942869	39.22403413	1455.651247	0.476559299	0.426455295	148.3122611	0.639091729	5.054364286	5	20.5	0.3	0.1
1.244874337	128.7104328	0.912373108	30.93275045	1455.651247	0.476559299	0.426455295	126.7462483	0.468428777	4.557423445	5	20.5	0.3	0.1
1.317147432	105.5682067	0.923383009	14.9645823	1455.651247	0.476559299	0.426455295	88.52284984	0.517498132	4.004763835	5	20.5	0.3	0.2
1.41511154	113.3364685	0.939892303	12.92945236	1455.651247	0.476559299	0.426455295	85.28630832	0.548788184	3.213040726	5	20.5	0.3	0.2
1.133626311	91.28247322	0.860008742	15.29674059	1455.651247	0.476559299	0.426455295	90.87700671	0.594780184	3.639613297	5	20.5	0.3	0.2
1.174193054	103.6353624	0.905860664	13.93901543	1455.651247	0.476559299	0.426455295	81.37620247	0.62272854	3.61956208	5	20.5	0.3	0.3
1.18097314	115.0399307	0.888327624	18.07176011	1455.651247	0.476559299	0.426455295	89.30971824	0.555126642	3.11783165	5	20.5	0.3	0.3
1.454017764	134.7398396	0.948138596	47.9936143	1455.651247	0.476559299	0.426455295	160.257822	0.669470682	4.704977719	5	20.5	0.3	0.4
1.951031119	361.1440693	0.962806396	429.2846686	1455.651247	0.476559299	0.426455295	590.0990195	0.799470415	10.71705294	5	20.5	0.3	0.4
1.203031231	264.1727936	0.979829253	175.1601264	1938.32461	0.502342591	0.447253593	365.1521452	0.666173281	10.36354159	6	24.5	0.3	0
1.201610767	145.9332778	0.898380101	74.2448889	1938.32461	0.502594974	0.446954116	191.7920816	0.473488323	6.725377938	6	24.5	0.3	0.1
0.920365709	115.3783097	0.953315482	23.86627497	1938.32461	0.502342591	0.447253593	109.7601251	0.601270067	3.812009455	6	24.5	0.3	0.1
